run_number,dependency,repository,commit_sha,workflow_id,workflow_conclusion,failure_type,stage,validation_status,matched_pattern,log_file,metadata_file,timestamp
1001,SyntaxError,DhruvHegde/dependency-error-repo,abc1234,300000001,success,F1,build,success,SyntaxError,,,
1002,MissingDependency,DhruvHegde/dependency-error-repo,def5678,300000002,failure,F2,install,failure,MissingDependency,,,
107108441142,TypeError,DhruvHegde/log-generation,dfcb6f158e4bd8054252a4da5d0a9edc2ab15d57,f3_test.yml,failure,F3,test,failure,TypeError,logs/F3/107108441142.log,metadata/F3/107108441142.json,2026-09-23T08:43:36Z
107108441055,IndexError,DhruvHegde/log-generation,dfcb6f158e4bd8054252a4da5d0a9edc2ab15d57,f3_test.yml,failure,F3,test,failure,IndexError,logs/F3/107108441055.log,metadata/F3/107108441055.json,2026-09-23T08:43:35Z
107108441200,TypeError,DhruvHegde/log-generation,dfcb6f158e4bd8054252a4da5d0a9edc2ab15d57,f3_test.yml,failure,F3,test,failure,TypeError,logs/F3/107108441200.log,metadata/F3/107108441200.json,2026-09-23T08:43:40Z
107108441209,AssertionError,DhruvHegde/log-generation,dfcb6f158e4bd8054252a4da5d0a9edc2ab15d57,f3_test.yml,failure,F3,test,failure,AssertionError,logs/F3/107108441209.log,metadata/F3/107108441209.json,2026-09-23T08:43:59Z
107108441211,AttributeError,DhruvHegde/log-generation,dfcb6f158e4bd8054252a4da5d0a9edc2ab15d57,f3_test.yml,failure,F3,test,failure,AttributeError,logs/F3/107108441211.log,metadata/F3/107108441211.json,2026-09-23T08:44:06Z
107108441154,FileNotFoundError,DhruvHegde/log-generation,dfcb6f158e4bd8054252a4da5d0a9edc2ab15d57,f3_test.yml,failure,F3,test,failure,FileNotFoundError,logs/F3/107108441154.log,metadata/F3/107108441154.json,2026-09-23T08:43:58Z
107108441172,AttributeError,DhruvHegde/log-generation,dfcb6f158e4bd8054252a4da5d0a9edc2ab15d57,f3_test.yml,failure,F3,test,failure,AttributeError,logs/F3/107108441172.log,metadata/F3/107108441172.json,2026-09-23T08:43:54Z
107108441217,KeyError,DhruvHegde/log-generation,dfcb6f158e4bd8054252a4da5d0a9edc2ab15d57,f3_test.yml,failure,F3,test,failure,KeyError,logs/F3/107108441217.log,metadata/F3/107108441217.json,2026-09-23T08:43:38Z
107108441201,ValueError,DhruvHegde/log-generation,dfcb6f158e4bd8054252a4da5d0a9edc2ab15d57,f3_test.yml,failure,F3,test,failure,ValueError,logs/F3/107108441201.log,metadata/F3/107108441201.json,2026-09-23T08:43:35Z
107108441135,TypeError,DhruvHegde/log-generation,dfcb6f158e4bd8054252a4da5d0a9edc2ab15d57,f3_test.yml,failure,F3,test,failure,TypeError,logs/F3/107108441135.log,metadata/F3/107108441135.json,2026-09-23T08:43:52Z
107108441079,ZeroDivisionError,DhruvHegde/log-generation,dfcb6f158e4bd8054252a4da5d0a9edc2ab15d57,f3_test.yml,failure,F3,test,failure,ZeroDivisionError,logs/F3/107108441079.log,metadata/F3/107108441079.json,2026-09-23T08:44:00Z
107108441203,AssertionError,DhruvHegde/log-generation,dfcb6f158e4bd8054252a4da5d0a9edc2ab15d57,f3_test.yml,failure,F3,test,failure,AssertionError,logs/F3/107108441203.log,metadata/F3/107108441203.json,2026-09-23T08:43:50Z
107108441234,KeyError,DhruvHegde/log-generation,dfcb6f158e4bd8054252a4da5d0a9edc2ab15d57,f3_test.yml,failure,F3,test,failure,KeyError,logs/F3/107108441234.log,metadata/F3/107108441234.json,2026-09-23T08:43:37Z
107108441169,TypeError,DhruvHegde/log-generation,dfcb6f158e4bd8054252a4da5d0a9edc2ab15d57,f3_test.yml,failure,F3,test,failure,TypeError,logs/F3/107108441169.log,metadata/F3/107108441169.json,2026-09-23T08:44:10Z
107108441197,ZeroDivisionError,DhruvHegde/log-generation,dfcb6f158e4bd8054252a4da5d0a9edc2ab15d57,f3_test.yml,failure,F3,test,failure,ZeroDivisionError,logs/F3/107108441197.log,metadata/F3/107108441197.json,2026-09-23T08:43:46Z
107108441218,ZeroDivisionError,DhruvHegde/log-generation,dfcb6f158e4bd8054252a4da5d0a9edc2ab15d57,f3_test.yml,failure,F3,test,failure,ZeroDivisionError,logs/F3/107108441218.log,metadata/F3/107108441218.json,2026-09-23T08:43:59Z
107108441150,AttributeError,DhruvHegde/log-generation,dfcb6f158e4bd8054252a4da5d0a9edc2ab15d57,f3_test.yml,failure,F3,test,failure,AttributeError,logs/F3/107108441150.log,metadata/F3/107108441150.json,2026-09-23T08:43:45Z
107108441189,AttributeError,DhruvHegde/log-generation,dfcb6f158e4bd8054252a4da5d0a9edc2ab15d57,f3_test.yml,failure,F3,test,failure,AttributeError,logs/F3/107108441189.log,metadata/F3/107108441189.json,2026-09-23T08:44:08Z
107108441092,AssertionError,DhruvHegde/log-generation,dfcb6f158e4bd8054252a4da5d0a9edc2ab15d57,f3_test.yml,failure,F3,test,failure,AssertionError,logs/F3/107108441092.log,metadata/F3/107108441092.json,2026-09-23T08:43:35Z
